ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3175031001;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;107;13;14;5;75;1;1;0;0;0;4;1;3;135;39;96;4;0;4;92;2;84;3;3;
3171081002;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;KAMPUNG RAWA;188;5;15;0;168;1;0;0;0;1;0;0;0;420;34;386;62;0;62;138;1;115;13;9;
3175041002;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;KAMPUNG TENGAH;323;8;36;1;278;1;0;0;0;1;8;1;7;746;81;665;48;0;48;161;5;126;9;21;
3173011005;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KAPUK;347;19;35;16;277;0;0;0;0;0;9;2;7;673;62;611;11;0;11;113;6;81;7;19;
3172011003;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAPUK MUARA;116;7;6;0;103;0;0;0;0;0;9;0;9;259;55;204;17;0;17;65;6;54;4;1;
3171021002;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARANG ANYAR;307;5;15;5;282;0;0;0;0;0;4;0;4;600;38;562;7;0;7;93;5;75;5;8;
3174021004;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET;87;3;6;0;78;0;0;0;0;0;10;0;10;252;11;241;4;0;4;39;4;34;0;1;
3174021003;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET KUNINGAN;113;7;12;1;93;0;0;0;0;0;21;0;21;222;8;214;4;0;4;34;1;26;2;5;
3174021002;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET SEMANGGI;41;0;1;1;39;0;0;0;0;0;3;0;3;55;10;45;0;0;0;10;1;6;2;1;
3171071003;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KARET TENGSIN;164;3;7;0;154;0;0;0;0;0;7;0;7;188;19;169;0;0;0;39;6;30;1;2;
3171021003;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARTINI;214;2;11;1;200;1;1;0;0;0;0;0;0;424;14;410;14;0;14;101;3;89;2;7;
3175011003;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;KAYU MANIS;173;5;12;0;156;1;0;0;0;1;0;0;0;435;50;385;22;0;22;69;1;59;4;5;
3175021006;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;KAYU PUTIH;254;3;15;4;232;0;0;0;0;0;11;0;11;717;40;677;22;0;22;137;0;121;5;11;
3173031006;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KEAGUNGAN;165;5;22;0;138;0;0;0;0;0;2;0;2;301;23;278;7;0;7;60;3;45;1;11;
3174041007;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;KEBAGUSAN;216;7;11;1;197;1;0;0;0;1;0;0;0;404;27;377;18;0;18;56;0;53;0;3;
3174051006;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA SELATAN;298;11;23;0;264;4;1;0;0;3;1;0;1;613;15;598;10;0;10;89;3;73;4;9;
3174051001;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA UTARA;184;1;13;1;169;0;0;0;0;0;15;0;15;353;10;343;2;0;2;56;1;52;2;1;
3174011004;DKI JAKARTA;JAKARTA SELATAN;TEBET;KEBON BARU;139;5;16;2;116;0;0;0;0;0;15;0;15;392;39;353;16;0;16;48;3;44;0;1;
3172021005;DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;KEBON BAWANG;369;15;38;1;315;0;0;0;0;0;13;1;12;695;62;633;49;0;49;214;11;190;1;12;
3173051001;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEBON JERUK;308;8;25;6;269;0;0;0;0;0;13;0;13;1052;67;985;53;0;53;167;7;127;11;22;
3171071006;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON KACANG;351;10;8;1;332;0;0;0;0;0;0;0;0;320;15;305;3;0;3;197;7;166;9;15;
3171011005;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;KEBON KELAPA;85;0;6;1;78;0;0;0;0;0;1;0;1;135;8;127;0;0;0;29;0;20;1;8;
3171031002;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEBON KOSONG;218;3;13;5;197;0;0;0;0;0;7;0;7;265;27;238;27;0;27;119;1;107;6;5;
3175011005;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;KEBON MANGGIS;98;4;6;4;84;0;0;0;0;0;1;0;1;129;15;114;18;0;18;78;2;71;2;3;
3171071005;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON MELATI;346;8;19;3;316;0;0;0;0;0;5;0;5;338;19;319;5;0;5;148;7;122;7;12;
3175081003;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;KEBON PALA;133;12;13;1;107;0;0;0;0;0;4;0;4;500;43;457;13;0;13;90;2;84;1;3;
3171061005;DKI JAKARTA;JAKARTA PUSAT;MENTENG;KEBON SIRIH;89;0;4;2;83;0;0;0;0;0;2;0;2;228;5;223;12;0;12;50;0;45;2;3;
3173011004;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KEDAUNG KALI ANGKE;170;6;9;0;155;0;0;0;0;0;1;0;1;176;11;165;5;0;5;92;2;74;2;14;
3173051007;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA SELATAN;150;10;11;5;124;2;0;0;0;2;4;0;4;333;27;306;16;0;16;59;6;39;3;11;
3173051006;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA UTARA;133;13;7;2;111;1;0;0;0;1;15;0;15;429;31;398;18;0;18;65;3;51;0;11;
3173051004;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KELAPA DUA;87;3;8;0;76;0;0;0;0;0;5;0;5;251;12;239;18;0;18;46;1;42;2;1;
3175091003;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;KELAPA DUA WETAN;280;8;30;1;241;0;0;0;0;0;7;0;7;717;44;673;33;0;33;67;0;62;2;3;
3172061003;DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING BARAT;473;10;44;2;417;1;1;0;0;0;44;3;41;863;70;793;34;0;34;182;21;124;5;32;
3172061001;DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING TIMUR;428;8;16;2;402;0;0;0;0;0;18;1;17;852;75;777;26;0;26;99;7;80;8;4;
3173071005;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KEMANGGISAN;287;5;23;6;253;0;0;0;0;0;7;0;7;524;41;483;48;0;48;107;5;91;5;6;
3171031001;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEMAYORAN;232;8;13;3;208;0;0;0;0;0;0;0;0;340;44;296;20;0;20;138;2;126;5;5;
3173081006;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN SELATAN;105;8;6;1;90;0;0;0;0;0;5;0;5;328;18;310;52;0;52;74;8;46;2;18;
3173081001;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN UTARA;214;10;14;3;187;1;0;0;1;0;2;0;2;960;55;905;10;0;10;80;8;66;2;4;
3171041002;DKI JAKARTA;JAKARTA PUSAT;SENEN;KENARI;132;2;6;1;123;0;0;0;0;0;0;0;0;313;26;287;44;0;44;134;0;131;2;1;
3173041005;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KERENDANG;163;3;6;2;152;1;0;0;0;1;0;0;0;139;15;124;2;0;2;67;4;55;6;2;
3175071003;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;KLENDER;389;9;20;2;358;1;1;0;0;0;3;0;3;494;69;425;17;0;17;148;5;112;9;22;
3172031001;DKI JAKARTA;JAKARTA UTARA;KOJA;KOJA;195;2;13;0;180;0;0;0;0;0;4;0;4;315;34;281;25;0;25;122;10;76;4;32;
3173071006;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU SELATAN;285;6;23;5;251;0;0;0;0;0;1;0;1;646;29;617;71;0;71;159;5;148;4;2;
3173071003;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU UTARA;244;4;14;11;215;0;0;0;0;0;3;1;2;403;21;382;52;0;52;146;4;135;6;1;
3171041004;DKI JAKARTA;JAKARTA PUSAT;SENEN;KRAMAT;270;2;19;5;244;0;0;0;0;0;4;0;4;677;43;634;30;0;30;186;2;170;9;5;
